fecha;cdoperador;cdpunto_atencion;dia_semana;recaudo_cat_I;recaudo_cat_II;recaudo_cat_III;recaudo_cat_IV;recaudo_cat_V;recaudo_cat_VI;recaudo_cat_VII;recaudo_cat_VIII;recaudo_total_diario;movimientos_diarios_operador
19/02/2025;1;3;Miercoles;51100.00;0.00;2618000.00;5655000.00;91025200.00;0.00;680000.00;1062600.00;101091900.00;7796
19/02/2025;1;1;Miercoles;52074000.00;11718800.00;34952600.00;37870000.00;62620300.00;9641200.00;25733200.00;22571700.00;257181800.00;8550
20/02/2025;1;3;Jueves;-51100.00;0.00;2741200.00;5839800.00;94001800.00;0.00;680000.00;1201200.00;104412900.00;8080
20/02/2025;1;1;Jueves;48994400.00;11493200.00;38051900.00;37579500.00;62368200.00;8096400.00;24313600.00;21125600.00;252022800.00;8469
21/02/2025;1;1;Viernes;48978000.00;12355600.00;35196700.00;38367300.00;71155400.00;8684000.00;24882800.00;19892200.00;259512000.00;8920
21/02/2025;1;3;Viernes;0.00;0.00;2836800.00;5699900.00;99122100.00;0.00;1156000.00;1185800.00;110000600.00;8498
22/02/2025;1;1;Sabado;35243600.00;9145600.00;20678600.00;34112500.00;83279800.00;6237600.00;15081600.00;12184500.00;215963800.00;8182
22/02/2025;1;3;Sabado;0.00;0.00;1786400.00;5068700.00;107494300.00;102000.00;204000.00;739200.00;115394600.00;8975
23/02/2025;1;1;Domingo;13502000.00;3442000.00;6129000.00;32551100.00;85968500.00;2079200.00;3986400.00;3227300.00;150885500.00;6752
23/02/2025;1;3;Domingo;0.00;0.00;415800.00;3219300.00;83633300.00;0.00;0.00;30800.00;87299200.00;6810
24/02/2025;1;3;Lunes;0.00;0.00;2532000.00;5706400.00;83941000.00;34000.00;1462000.00;1524600.00;95200000.00;7327
24/02/2025;1;1;Lunes;45528800.00;12060400.00;33494300.00;38841500.00;62678000.00;9529600.00;23969600.00;19549000.00;245651200.00;8306
25/02/2025;1;1;Martes;47481200.00;10461600.00;34981400.00;37553200.00;61392400.00;7889600.00;25038400.00;20293900.00;245091700.00;8264
25/02/2025;1;3;Martes;0.00;0.00;3327100.00;5698600.00;90597300.00;0.00;1292000.00;1386000.00;102301000.00;7865
